system:
You are good global RL policy optimizer, helping me find the global optimal policy in the following environment:

# Environment:
The swimmers consist of three or more segments (’links’) and one less articulation joints (’rotors’) - one rotor joint connects exactly two links to form a linear chain. The swimmer is suspended in a two-dimensional pool and always starts in the same position (subject to some deviation drawn from a uniform distribution), and the goal is to move as fast as possible towards the right by applying torque to the rotors and using fluid friction.
The state is a vector of 8 elements, representing the following:
- state[0] angle of the front tip (-inf to inf rad)
- state[1] angle of the first rotor (-inf to inf rad)
- state[2] angle of the second rotor (-inf to inf rad)
- state[3] velocity of the tip along the x-axis (-inf to inf m/s)
- state[4] velocity of the tip along the y-axis (-inf to inf m/s)
- state[5] angular velocity of front tip (-inf to inf rad/s)
- state[6] angular velocity of first rotor (-inf to inf rad/s)
- state[7] angular velocity of second rotor (-inf to inf rad/s) 
The action space is a vector of 2 float numbers, representing the torques applied between the links (-1 to 1 N).
The policy is a linear policy with 5 parameters and works as follows: 
action = argmax(state @ W + B), where
state = [state[0], state[1], state[2], state[3], state[4], state[5], state[6], state[7]]
W = [[params[0], params[1]],
    [params[2], params[3]],
    [params[4], params[5]],
    [params[6], params[7]],
    [params[8], params[9]],
    [params[10], params[11]],
    [params[12], params[13]],
    [params[14], params[15]]]
b = [params[16], params[17]]
The goal is to try to move forward. However, in the meantime, the control cost should also be minimized. The reward function is as follows:
reward = x-velocity - 1e-4 * action^2.

# Regarding the parameters **params**:
**params** is an array of 18 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.
params represent a linear policy. 
f(params) is the episodic reward of the policy.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with a few training examples.
2. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[17]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input.
3. I will then provide the function's value f(params) at that point, and the current iteration.
4. We will repeat steps 2-3 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around 250.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 0.1**.


Next, you will see examples of params, there episodic reward f(params), and the trajectories the params yield.
params[0]: -2.9; params[1]: -0.1; params[2]: -2.8; params[3]: 0.5; params[4]: -4.9; params[5]: -0.7; params[6]: 3.9; params[7]: -0.2; params[8]: 2.4; params[9]: 3; params[10]: 3.4; params[11]: -0.2; params[12]: -0.2; params[13]: -3.1; params[14]: 0.2; params[15]: -1.4; params[16]: 1.2; params[17]: -0.6; f(params): 47.22
params[0]: -3.3; params[1]: -1.5; params[2]: -0.5; params[3]: -3.3; params[4]: -0.1; params[5]: 2.7; params[6]: -4.1; params[7]: -2.8; params[8]: 0; params[9]: 0.4; params[10]: -0.4; params[11]: 2; params[12]: -4.4; params[13]: 0.5; params[14]: 0.1; params[15]: 3.1; params[16]: 1.1; params[17]: -1.5; f(params): -29.62
params[0]: -2.8; params[1]: -1.3; params[2]: 0.2; params[3]: -0.9; params[4]: -0.1; params[5]: -3.1; params[6]: -3.9; params[7]: 5.7; params[8]: -0.5; params[9]: -2; params[10]: 3; params[11]: -7.4; params[12]: -0.8; params[13]: 3.7; params[14]: 2.7; params[15]: 0.3; params[16]: -1.6; params[17]: 0.6; f(params): -36.69
params[0]: 1.7; params[1]: -2.2; params[2]: 4.6; params[3]: 2.6; params[4]: -5.2; params[5]: 4.2; params[6]: -0.2; params[7]: 2.7; params[8]: 2.1; params[9]: -0.4; params[10]: 0.5; params[11]: -0.4; params[12]: 3.5; params[13]: -0.1; params[14]: -0.6; params[15]: 2.4; params[16]: -5.3; params[17]: 2.1; f(params): -78.78
params[0]: 3.5; params[1]: -0.1; params[2]: -2.3; params[3]: 0.7; params[4]: -2.8; params[5]: 0.3; params[6]: 3.2; params[7]: 3.7; params[8]: -0.2; params[9]: 2.2; params[10]: 3.3; params[11]: -4.5; params[12]: 1.3; params[13]: -2.2; params[14]: 2.3; params[15]: -5.5; params[16]: 0.4; params[17]: -0.2; f(params): -0.07
params[0]: 0.5; params[1]: 3; params[2]: 2.9; params[3]: 0.2; params[4]: 2.7; params[5]: 1.4; params[6]: 4.4; params[7]: 0.7; params[8]: -2.5; params[9]: 3.8; params[10]: 5.6; params[11]: 4.9; params[12]: -0.7; params[13]: -0.8; params[14]: -1.2; params[15]: 4.9; params[16]: 2.9; params[17]: 2.9; f(params): -89.57
params[0]: -3.9; params[1]: -0.8; params[2]: -0.1; params[3]: -1.4; params[4]: -0.5; params[5]: -2.1; params[6]: 5.1; params[7]: -0.3; params[8]: -0.2; params[9]: 1; params[10]: -3.2; params[11]: 4.1; params[12]: 2.1; params[13]: -0.9; params[14]: -2.4; params[15]: -1.1; params[16]: -0.4; params[17]: -0.4; f(params): -98.11
params[0]: -2.7; params[1]: -4.8; params[2]: 3.3; params[3]: -1.3; params[4]: -2.1; params[5]: 3.8; params[6]: -0.3; params[7]: -0.5; params[8]: -1.1; params[9]: -3.1; params[10]: -2.5; params[11]: 4.6; params[12]: -6.8; params[13]: 2.7; params[14]: -7.8; params[15]: -5.5; params[16]: 1.2; params[17]: 2.6; f(params): -42.26
params[0]: 2.8; params[1]: -5.4; params[2]: -1.3; params[3]: 4; params[4]: -1; params[5]: -4.7; params[6]: -0.2; params[7]: 0.3; params[8]: 1.1; params[9]: -3; params[10]: -2.5; params[11]: -3.3; params[12]: -1.1; params[13]: -2.3; params[14]: -0.3; params[15]: -3.8; params[16]: -2.5; params[17]: 1.2; f(params): 6.46
params[0]: -3.9; params[1]: -5.7; params[2]: -0.7; params[3]: 0; params[4]: 0.5; params[5]: -3.8; params[6]: -2.5; params[7]: 3.5; params[8]: 0.2; params[9]: 0.9; params[10]: 0.3; params[11]: -2.6; params[12]: -0.7; params[13]: 2.7; params[14]: -0.5; params[15]: 3.2; params[16]: -3.7; params[17]: -4.9; f(params): -9.99
params[0]: -5.6; params[1]: -0.5; params[2]: 0.4; params[3]: 0.2; params[4]: 1; params[5]: -3.7; params[6]: 0.7; params[7]: 2.8; params[8]: 2.3; params[9]: 6.6; params[10]: -5.8; params[11]: 3.7; params[12]: 1.4; params[13]: 3.3; params[14]: 2.4; params[15]: 4.7; params[16]: -1.4; params[17]: -0.8; f(params): -220.49
params[0]: -2.3; params[1]: -0.5; params[2]: 0.3; params[3]: -0.7; params[4]: -0.3; params[5]: 4; params[6]: 4.1; params[7]: -2.7; params[8]: 3.4; params[9]: 2.3; params[10]: -0.7; params[11]: 1.5; params[12]: -2.3; params[13]: -6.1; params[14]: -0.3; params[15]: 2.4; params[16]: 2.1; params[17]: 0.1; f(params): -28.14
params[0]: 0.9; params[1]: -0.6; params[2]: -2; params[3]: -4.6; params[4]: -0.3; params[5]: -0.9; params[6]: 0.9; params[7]: -4.9; params[8]: -1.8; params[9]: -0; params[10]: -0.2; params[11]: 6.4; params[12]: 3.7; params[13]: -1.9; params[14]: 2.5; params[15]: -5.3; params[16]: 1; params[17]: 2; f(params): -24.00
params[0]: 2.4; params[1]: -3.2; params[2]: 1.2; params[3]: 1.6; params[4]: 4.5; params[5]: 1.7; params[6]: -1.9; params[7]: 5.5; params[8]: -2.3; params[9]: -0.5; params[10]: -3.4; params[11]: -1.9; params[12]: 4; params[13]: -3.1; params[14]: 2.2; params[15]: -7.4; params[16]: 5.1; params[17]: -4.2; f(params): -20.86
params[0]: -1.2; params[1]: 0.8; params[2]: -0.1; params[3]: -0.4; params[4]: -3.7; params[5]: -0.9; params[6]: 2.2; params[7]: 2; params[8]: 1.1; params[9]: -1.4; params[10]: 2.4; params[11]: -6.1; params[12]: -1.7; params[13]: 1.1; params[14]: -2; params[15]: 5.9; params[16]: -1.2; params[17]: 3.6; f(params): -32.01
params[0]: 1.5; params[1]: -1.2; params[2]: -0.1; params[3]: -3.8; params[4]: 1.9; params[5]: 4.5; params[6]: 2.9; params[7]: -0; params[8]: 1.5; params[9]: 0.9; params[10]: -3.3; params[11]: -0.9; params[12]: 0.5; params[13]: -0.6; params[14]: -5.2; params[15]: 0.6; params[16]: 2.8; params[17]: -2.5; f(params): -62.14
params[0]: 0.7; params[1]: 0.8; params[2]: 3.2; params[3]: 2.2; params[4]: 2.3; params[5]: 0.9; params[6]: -1.7; params[7]: 1.6; params[8]: 1.4; params[9]: -4.8; params[10]: -1.5; params[11]: -6.6; params[12]: -7.8; params[13]: 9.4; params[14]: 2.6; params[15]: -4.4; params[16]: -4; params[17]: 0.8; f(params): -6.67
params[0]: 3.5; params[1]: 1.8; params[2]: 6.1; params[3]: 1.7; params[4]: -0.2; params[5]: 1.8; params[6]: -2.6; params[7]: -2.9; params[8]: -6.3; params[9]: -8.1; params[10]: -2.2; params[11]: -1.4; params[12]: -3.4; params[13]: 4.4; params[14]: -1.8; params[15]: -4.6; params[16]: -3.3; params[17]: -1.4; f(params): 24.64
params[0]: -2.9; params[1]: 2.3; params[2]: -0.1; params[3]: 2.4; params[4]: -3.4; params[5]: -1; params[6]: 0.7; params[7]: 3.3; params[8]: -4.2; params[9]: -2.3; params[10]: -1.6; params[11]: 2.4; params[12]: -0.9; params[13]: -3.1; params[14]: -4.5; params[15]: 1; params[16]: -4; params[17]: -1.5; f(params): -81.17
params[0]: 3.7; params[1]: -1; params[2]: -2.7; params[3]: -5.1; params[4]: 2.6; params[5]: 3.9; params[6]: -3; params[7]: -5.6; params[8]: -3.9; params[9]: 2.5; params[10]: 0.3; params[11]: -3.3; params[12]: 1.1; params[13]: -0.7; params[14]: 0.6; params[15]: 0.2; params[16]: 4; params[17]: -5.3; f(params): -42.67
params[0]: -0.9; params[1]: -3.9; params[2]: -1.9; params[3]: 2; params[4]: 1.5; params[5]: -6.9; params[6]: -4; params[7]: 1.2; params[8]: 3.9; params[9]: 0.8; params[10]: 4.2; params[11]: 1.1; params[12]: -9; params[13]: -0.1; params[14]: -1.3; params[15]: 0.9; params[16]: -2.2; params[17]: -1.5; f(params): 9.94
params[0]: -4.2; params[1]: -2.1; params[2]: 1.9; params[3]: -2.8; params[4]: 1.9; params[5]: 2.4; params[6]: -3.7; params[7]: -0.7; params[8]: -1; params[9]: -0.8; params[10]: 0.2; params[11]: 4.4; params[12]: -1.7; params[13]: -4; params[14]: -1.5; params[15]: -1.9; params[16]: 3.7; params[17]: 0.4; f(params): -32.40
params[0]: 2.2; params[1]: -1.7; params[2]: -0.5; params[3]: 3.7; params[4]: -2.8; params[5]: -0.5; params[6]: 0.1; params[7]: -2; params[8]: -3.6; params[9]: 4.2; params[10]: -0; params[11]: -7.1; params[12]: -1.8; params[13]: -4.8; params[14]: -0.5; params[15]: -6; params[16]: 0.1; params[17]: -3; f(params): -3.47
params[0]: 4.5; params[1]: 3.2; params[2]: -1.5; params[3]: -5.4; params[4]: 4.7; params[5]: -1.5; params[6]: 4; params[7]: -0.7; params[8]: -0.2; params[9]: 2.6; params[10]: -1.7; params[11]: -0.1; params[12]: 2.3; params[13]: -0.8; params[14]: -0.1; params[15]: -0.4; params[16]: -6.2; params[17]: 3.3; f(params): -8.39
params[0]: -5.2; params[1]: 1.6; params[2]: -1.1; params[3]: 1.2; params[4]: -6.8; params[5]: -1.7; params[6]: 1.8; params[7]: 0.6; params[8]: 2.2; params[9]: -2.5; params[10]: 2.2; params[11]: 3.6; params[12]: -6.7; params[13]: 1; params[14]: 0.5; params[15]: -1.3; params[16]: -0.5; params[17]: 3.1; f(params): -22.89
params[0]: 0.3; params[1]: -0.7; params[2]: -1.5; params[3]: -1; params[4]: -3.1; params[5]: 2.6; params[6]: 1; params[7]: 2.5; params[8]: 4.1; params[9]: 0.8; params[10]: 6.6; params[11]: 3; params[12]: -4.4; params[13]: -3.7; params[14]: 6; params[15]: -1.8; params[16]: -1.3; params[17]: -1.6; f(params): -32.96
params[0]: -3.3; params[1]: 0.4; params[2]: 0.1; params[3]: -5.1; params[4]: 3; params[5]: 2; params[6]: -1; params[7]: 0.1; params[8]: 0.5; params[9]: -0.2; params[10]: -2.4; params[11]: 1.6; params[12]: -0.9; params[13]: -1.2; params[14]: 2.7; params[15]: -1.6; params[16]: -0.8; params[17]: -1.8; f(params): -24.62
params[0]: 2.3; params[1]: 3.9; params[2]: -1.2; params[3]: -0.3; params[4]: -0.7; params[5]: 2.1; params[6]: 2.3; params[7]: -1.5; params[8]: -3.8; params[9]: 0.3; params[10]: 0.4; params[11]: 0.4; params[12]: -2; params[13]: 2.2; params[14]: 0.5; params[15]: 0.8; params[16]: -3.9; params[17]: -1.8; f(params): -43.42
params[0]: 0.1; params[1]: -7.8; params[2]: 1.5; params[3]: -0.3; params[4]: -4.2; params[5]: -8.2; params[6]: 1; params[7]: 1.7; params[8]: -0.4; params[9]: 2.2; params[10]: -0.1; params[11]: 3.3; params[12]: 0.3; params[13]: -0.1; params[14]: 0.4; params[15]: 0.6; params[16]: -0.8; params[17]: -2.5; f(params): 15.08
params[0]: 1.2; params[1]: -1.6; params[2]: -0.9; params[3]: 0.2; params[4]: -1.3; params[5]: -0.6; params[6]: 1.1; params[7]: 2; params[8]: 2.6; params[9]: 0.6; params[10]: 1.4; params[11]: 4; params[12]: 2.3; params[13]: -4.3; params[14]: 1.3; params[15]: -1.2; params[16]: 2.5; params[17]: -1.6; f(params): -27.15
params[0]: -6.5; params[1]: 2.6; params[2]: 5; params[3]: -3.5; params[4]: 6.7; params[5]: 2.1; params[6]: 2.4; params[7]: 1.1; params[8]: -3.7; params[9]: 4.4; params[10]: -0.7; params[11]: -3.2; params[12]: 2.6; params[13]: -1.4; params[14]: 4.2; params[15]: -0.8; params[16]: -4.3; params[17]: 0.5; f(params): -47.79
params[0]: -0.8; params[1]: -1.8; params[2]: -3.4; params[3]: -6.5; params[4]: -2.9; params[5]: 0.9; params[6]: -2.5; params[7]: -0.8; params[8]: -3.1; params[9]: 3.8; params[10]: 5.1; params[11]: -6.3; params[12]: -2; params[13]: 1.9; params[14]: -1.6; params[15]: 1.1; params[16]: 1.8; params[17]: -0.6; f(params): -36.30
params[0]: 2.6; params[1]: 1.9; params[2]: 0.6; params[3]: 0.9; params[4]: -2.1; params[5]: 1.1; params[6]: -2.3; params[7]: 2.8; params[8]: 3.3; params[9]: 0.1; params[10]: 5.2; params[11]: 3.9; params[12]: 1.1; params[13]: -0.4; params[14]: -1.4; params[15]: -0.4; params[16]: -4.7; params[17]: 0.6; f(params): -29.84
params[0]: -3.8; params[1]: 0.9; params[2]: -0.5; params[3]: -1.7; params[4]: 2.5; params[5]: -1.1; params[6]: -0.9; params[7]: -1.5; params[8]: -3.5; params[9]: 5.6; params[10]: -3.1; params[11]: -2.5; params[12]: 2.2; params[13]: -3.3; params[14]: -5; params[15]: 1.4; params[16]: 1.2; params[17]: 2.2; f(params): -237.47
params[0]: -1.4; params[1]: 0.3; params[2]: -1.5; params[3]: -2.7; params[4]: -3.4; params[5]: 2.6; params[6]: -1.9; params[7]: 3.1; params[8]: 2.7; params[9]: -1.9; params[10]: -3.2; params[11]: 2.4; params[12]: -0.1; params[13]: 2.1; params[14]: 0.8; params[15]: 0.3; params[16]: 5.3; params[17]: -0.2; f(params): -41.27
params[0]: -5.4; params[1]: 5.4; params[2]: 0.4; params[3]: 0.9; params[4]: 3.3; params[5]: 3.2; params[6]: -7.4; params[7]: -4.1; params[8]: -1.5; params[9]: -0.9; params[10]: 2.3; params[11]: 0.2; params[12]: 0.5; params[13]: 5.5; params[14]: -3.3; params[15]: -0.4; params[16]: 1.8; params[17]: 1.1; f(params): -39.54
params[0]: 1.4; params[1]: 4.5; params[2]: 1.5; params[3]: 9.2; params[4]: -3.7; params[5]: 1.7; params[6]: 1.4; params[7]: -0.2; params[8]: 0.7; params[9]: -1.4; params[10]: -4.9; params[11]: -3.8; params[12]: 1.5; params[13]: 1.3; params[14]: 2.4; params[15]: -1.5; params[16]: 1.2; params[17]: 2.7; f(params): 103.35
params[0]: -0; params[1]: -2.6; params[2]: 5.9; params[3]: -0.8; params[4]: 0.2; params[5]: -0.5; params[6]: -0.7; params[7]: -0.3; params[8]: -1.8; params[9]: -0.8; params[10]: 3.4; params[11]: -1.4; params[12]: -4.1; params[13]: 1.4; params[14]: 0.4; params[15]: -1; params[16]: 4.1; params[17]: -1.1; f(params): 0.24
params[0]: -0.8; params[1]: -3.3; params[2]: 1.9; params[3]: 4.3; params[4]: -1.2; params[5]: -4.6; params[6]: 4.8; params[7]: 2.2; params[8]: 0.8; params[9]: 0.1; params[10]: 1.4; params[11]: -1.7; params[12]: 0.8; params[13]: 4; params[14]: 2.2; params[15]: 1.3; params[16]: 2.8; params[17]: 2.3; f(params): 10.41
params[0]: 2; params[1]: 5; params[2]: 2; params[3]: 5.5; params[4]: -4; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 3; params[15]: -1; params[16]: 2; params[17]: 3; f(params): 119.06
params[0]: 2; params[1]: 5; params[2]: 2; params[3]: 6; params[4]: -4; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 4; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 97.60
params[0]: 6; params[1]: 6; params[2]: 6; params[3]: 6; params[4]: -6; params[5]: 6; params[6]: 6; params[7]: 0; params[8]: 6; params[9]: -6; params[10]: -6; params[11]: -6; params[12]: 6; params[13]: 6; params[14]: 6; params[15]: -1; params[16]: 6; params[17]: 6; f(params): -71.38
params[0]: 2; params[1]: 5; params[2]: 2; params[3]: 6; params[4]: -5; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 3; params[13]: 3; params[14]: 4; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 90.93
params[0]: 2.2; params[1]: 5.2; params[2]: 2.2; params[3]: 6; params[4]: -4; params[5]: 2.2; params[6]: 2.2; params[7]: 0; params[8]: 1.2; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2.2; params[13]: 2.2; params[14]: 4; params[15]: -1; params[16]: 2.5; params[17]: 3.2; f(params): 97.07
params[0]: 3; params[1]: 5; params[2]: 3; params[3]: 6; params[4]: -5; params[5]: 3; params[6]: 3; params[7]: 0; params[8]: 2; params[9]: -1; params[10]: -5; params[11]: -4; params[12]: 3; params[13]: 3; params[14]: 5; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 62.41
params[0]: 2.5; params[1]: 5.5; params[2]: 2.5; params[3]: 6.5; params[4]: -4.5; params[5]: 2.5; params[6]: 2.5; params[7]: 0; params[8]: 1.5; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2.5; params[13]: 2.5; params[14]: 4.5; params[15]: -1; params[16]: 2.5; params[17]: 3.5; f(params): 75.47
params[0]: 2.5; params[1]: 5.5; params[2]: 2.5; params[3]: 6; params[4]: -4; params[5]: 2.5; params[6]: 2.5; params[7]: 0; params[8]: 1.5; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2.5; params[13]: 2.5; params[14]: 5; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 87.03
params[0]: 2.5; params[1]: 5.5; params[2]: 2.5; params[3]: 6; params[4]: -4.5; params[5]: 2.5; params[6]: 2.5; params[7]: 0; params[8]: 1.5; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2.5; params[13]: 2.5; params[14]: 3.5; params[15]: -1; params[16]: 2.5; params[17]: 3.5; f(params): 101.30
params[0]: 4; params[1]: 5; params[2]: 4; params[3]: 6; params[4]: -5; params[5]: 4; params[6]: 4; params[7]: 0; params[8]: 2; params[9]: -1; params[10]: -5; params[11]: -4; params[12]: 4; params[13]: 4; params[14]: 6; params[15]: -1; params[16]: 4; params[17]: 4; f(params): 24.39
params[0]: 3; params[1]: 6; params[2]: 3; params[3]: 6; params[4]: -4; params[5]: 3; params[6]: 3; params[7]: 0; params[8]: 2; params[9]: -1; params[10]: -5; params[11]: -4; params[12]: 3; params[13]: 3; params[14]: 5; params[15]: -1; params[16]: 3; params[17]: 4; f(params): 69.05
params[0]: 2; params[1]: 5; params[2]: 2; params[3]: 6.5; params[4]: -4; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 4; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 87.40
params[0]: 3; params[1]: 6; params[2]: 3; params[3]: 6; params[4]: -5; params[5]: 3; params[6]: 3; params[7]: 0; params[8]: 2; params[9]: -1; params[10]: -5; params[11]: -4; params[12]: 3; params[13]: 3; params[14]: 5; params[15]: -1; params[16]: 3; params[17]: 4; f(params): 61.84
params[0]: 2.2; params[1]: 5; params[2]: 2.2; params[3]: 5.5; params[4]: -3.5; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 3; params[15]: -1; params[16]: 2; params[17]: 3; f(params): 113.55
params[0]: 2.4; params[1]: 6; params[2]: 2.4; params[3]: 7.2; params[4]: -4.8; params[5]: 2.4; params[6]: 2.4; params[7]: 0; params[8]: 1.2; params[9]: -1.8; params[10]: -6; params[11]: -4.8; params[12]: 2.4; params[13]: 2.4; params[14]: 4.8; params[15]: -1.2; params[16]: 3.6; params[17]: 3.6; f(params): 65.88
params[0]: 3; params[1]: 6; params[2]: 3; params[3]: 6; params[4]: -5; params[5]: 3; params[6]: 3; params[7]: 0; params[8]: 1.5; params[9]: -2; params[10]: -5; params[11]: -4; params[12]: 3; params[13]: 3; params[14]: 5; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 79.83
params[0]: 3; params[1]: 5; params[2]: 3; params[3]: 5; params[4]: 3; params[5]: 5; params[6]: 3; params[7]: 5; params[8]: 3; params[9]: 5; params[10]: 3; params[11]: 5; params[12]: 3; params[13]: 5; params[14]: 3; params[15]: 5; params[16]: 3; params[17]: 4; f(params): -7.43
params[0]: 3; params[1]: 6; params[2]: 3; params[3]: 7; params[4]: -5; params[5]: 3; params[6]: 3; params[7]: 0; params[8]: 2; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 3; params[13]: 3; params[14]: 6; params[15]: -1; params[16]: 4; params[17]: 5; f(params): 38.10
params[0]: 2.5; params[1]: 5.5; params[2]: 2.5; params[3]: 6; params[4]: -4; params[5]: 2.5; params[6]: 2.5; params[7]: 0; params[8]: 1.5; params[9]: -2; params[10]: -5.5; params[11]: -4.5; params[12]: 2.5; params[13]: 2.5; params[14]: 3.5; params[15]: -1.5; params[16]: 2.5; params[17]: 3.5; f(params): 100.79
params[0]: 3; params[1]: 6; params[2]: 3; params[3]: 6; params[4]: -5; params[5]: 3; params[6]: 3; params[7]: 0; params[8]: 1.5; params[9]: -2; params[10]: -6; params[11]: -5; params[12]: 3; params[13]: 3; params[14]: 5; params[15]: -2; params[16]: 3; params[17]: 4.5; f(params): 60.71
params[0]: 2.5; params[1]: 5.5; params[2]: 2.5; params[3]: 6.5; params[4]: -4.5; params[5]: 2.5; params[6]: 2.5; params[7]: 0; params[8]: 1.5; params[9]: -2; params[10]: -5.5; params[11]: -4.5; params[12]: 2.5; params[13]: 2.5; params[14]: 5.5; params[15]: -1; params[16]: 4; params[17]: 4; f(params): 58.91
params[0]: 5; params[1]: 5; params[2]: 5; params[3]: 5.5; params[4]: -4; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 3; params[15]: -1; params[16]: 2; params[17]: 3; f(params): 113.26
params[0]: 3; params[1]: 5.5; params[2]: 3; params[3]: 6; params[4]: -5; params[5]: 3; params[6]: 3; params[7]: 0; params[8]: 1.5; params[9]: -2; params[10]: -5.5; params[11]: -4.5; params[12]: 3; params[13]: 3; params[14]: 4; params[15]: -1.5; params[16]: 3; params[17]: 4; f(params): 76.83
params[0]: 2; params[1]: 5; params[2]: 2; params[3]: 5.5; params[4]: -4; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 5; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 97.74
params[0]: 3; params[1]: 5; params[2]: 3; params[3]: 5.5; params[4]: -3; params[5]: 2; params[6]: 4; params[7]: 1; params[8]: 1; params[9]: -1.5; params[10]: -3; params[11]: -4; params[12]: 3; params[13]: 2; params[14]: 4; params[15]: -1; params[16]: 4; params[17]: 3; f(params): 106.39
params[0]: 2; params[1]: 5; params[2]: 2; params[3]: 5; params[4]: 2; params[5]: 5; params[6]: 6; params[7]: 0; params[8]: 2; params[9]: 5; params[10]: 6; params[11]: 0; params[12]: 2; params[13]: 5; params[14]: 6; params[15]: -1; params[16]: 4; params[17]: 2; f(params): -3.98
params[0]: 2.5; params[1]: 5; params[2]: 2.5; params[3]: 6; params[4]: -4; params[5]: 2.5; params[6]: 2.5; params[7]: 0; params[8]: 1.5; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2.5; params[13]: 2.5; params[14]: 5; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 80.57
params[0]: 4; params[1]: 6; params[2]: 4; params[3]: 6; params[4]: -6; params[5]: 4; params[6]: 4; params[7]: 0; params[8]: 2; params[9]: -1; params[10]: -6; params[11]: -5; params[12]: 4; params[13]: 4; params[14]: 6; params[15]: -1; params[16]: 4; params[17]: 4; f(params): 19.12
params[0]: 2; params[1]: 5; params[2]: 2; params[3]: 5.5; params[4]: -4; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 3; params[15]: -1; params[16]: 5; params[17]: 5; f(params): 81.92
params[0]: 6; params[1]: 6; params[2]: 6; params[3]: 6; params[4]: 6; params[5]: 6; params[6]: 6; params[7]: 6; params[8]: 6; params[9]: 6; params[10]: 6; params[11]: 6; params[12]: 6; params[13]: 6; params[14]: 6; params[15]: 6; params[16]: 0; params[17]: 0; f(params): -8.54
params[0]: 2; params[1]: 5; params[2]: 2; params[3]: 5.5; params[4]: -4; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 2; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 127.04
params[0]: 2; params[1]: 5; params[2]: 2; params[3]: 5.6; params[4]: -4.1; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 2.5; params[15]: -1; params[16]: 3.1; params[17]: 3.1; f(params): 118.23
params[0]: 2.2; params[1]: 5.2; params[2]: 2.2; params[3]: 5.6; params[4]: -4.2; params[5]: 2.2; params[6]: 2.2; params[7]: 0; params[8]: 1.2; params[9]: -1.4; params[10]: -5.2; params[11]: -4.2; params[12]: 2.2; params[13]: 2.2; params[14]: 2.2; params[15]: -1.2; params[16]: 3.2; params[17]: 3.2; f(params): 117.68
params[0]: 3; params[1]: 5; params[2]: 2; params[3]: 6; params[4]: -4; params[5]: 2; params[6]: 2; params[7]: 0; params[8]: 1; params[9]: -1.5; params[10]: -5; params[11]: -4; params[12]: 2; params[13]: 2; params[14]: 2; params[15]: -1; params[16]: 3; params[17]: 3; f(params): 109.06
