system:
You are good global optimizer, helping me find the global maximum of a mathematical function f(params).
I will give you the function evaluation and the current iteration number at each step. 
Your goal is to propose input values that efficiently lead us to the global maximum within a limited number of iterations (400). 

# Regarding the parameters **params**:
**params** is an array of 10 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with a few training examples.
2. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[9]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input.
3. I will then provide the function's value f(params) at that point, and the current iteration.
4. We will repeat steps 2-3 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around 500.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 1.0**.


Next, you will see examples of params and f(params) pairs.
params[0]: 4.4; params[1]: -3.5; params[2]: -1.3; params[3]: 3; params[4]: -1.1; params[5]: 3.9; params[6]: 2.4; params[7]: -0.8; params[8]: 0.7; params[9]: -2; f(params): 9.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.2; f(params): 178.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 22.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.2; f(params): 224.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.3; f(params): 112.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.2; f(params): 21.05
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.4; f(params): 107.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.5; f(params): 86.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.6; f(params): 56.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.7; f(params): 60.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.8; f(params): 79.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.3; f(params): 21.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.9; f(params): 56.05
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 225.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4; f(params): 54.75
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.1; f(params): 77.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.2; f(params): 89.50
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.3; f(params): 56.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.4; f(params): 51.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.5; f(params): 67.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.6; f(params): 47.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.7; f(params): 72.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.4; f(params): 21.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.8; f(params): 76.50
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5; f(params): 53.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.9; f(params): 51.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.1; f(params): 41.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.2; f(params): 40.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.3; f(params): 43.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.5; f(params): 18.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.4; f(params): 45.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.5; f(params): 38.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.6; f(params): 21.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.7; f(params): 19.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.6; f(params): 38.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.8; f(params): 20.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.7; f(params): 42.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.9; f(params): 19.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -4; f(params): 17.75
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.8; f(params): 38.75
params[0]: 1; params[1]: -1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.9; f(params): 38.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -4.1; f(params): 18.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 6; f(params): 37.40
params[0]: 1; params[1]: -1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 6; f(params): 38.75
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.9; f(params): 37.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -6; f(params): 15.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 6; f(params): 33.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -4.2; f(params): 18.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 6.1; f(params): 38.50
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -4.3; f(params): 18.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 206.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 4.9; f(params): 47.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -4.4; f(params): 17.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5; f(params): 53.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -4.5; f(params): 17.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 5.9; f(params): 37.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3; f(params): 210.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 247.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 221.65
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.2; f(params): 200.65
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 241.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 203.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 222.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 224.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 287.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 134.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 241.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 262.75
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 199.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 204.35
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 243.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 21.75
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 155.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 154.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 173.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 206.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 241.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 196.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 260.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 22.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 181.05
params[0]: -6; params[1]: -6; params[2]: -6; params[3]: -6; params[4]: -6; params[5]: -6; params[6]: -6; params[7]: -6; params[8]: -6; params[9]: -6; f(params): 9.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 202.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 285.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 285.05
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 20.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 22.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 20.25
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 263.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 272.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 242.05
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -3.1; f(params): 21.65
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -5.9; f(params): 15.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 194.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -6; f(params): 15.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 266.65
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 222.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 265.65
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3; f(params): 264.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 196.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: -5.8; f(params): 15.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 268.55
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 203.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 244.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 330.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 261.50
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 223.85
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 265.50
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 276.95
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 2.9; f(params): 294.00
params[0]: -6; params[1]: -6; params[2]: 6; params[3]: 6; params[4]: -6; params[5]: 6; params[6]: -6; params[7]: 6; params[8]: -6; params[9]: 6; f(params): 13.40
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 265.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 2.8; f(params): 222.60
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 2.7; f(params): 259.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 2.6; f(params): 244.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 2.5; f(params): 140.75
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 335.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 286.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 221.45
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 200.00
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 2.4; f(params): 152.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 327.80
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 241.90
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 206.30
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 2.3; f(params): 61.70
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 225.75
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 2.2; f(params): 59.15
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 197.20
params[0]: 1; params[1]: 1; params[2]: 2.3; params[3]: -4.6; params[4]: -3.4; params[5]: 2.3; params[6]: -1.8; params[7]: 5.3; params[8]: 2.9; params[9]: 3.1; f(params): 177.05
