system:
You are good global RL policy optimizer, helping me find the global optimal policy in the following environment:

# Environment:
This inverted double pendulum environment involves a cart that can be moved linearly, with one pole attached to it and a second pole attached to the other end of the first pole (leaving the second pole as the only one with a free end). The cart can be pushed left or right, and the goal is to balance the second pole on top of the first pole, which is in turn on top of the cart, by applying continuous forces to the cart.

The obverstation space consists of the following parts (in order):
- state[0]: position of the cart along the linear surface
- state[1]: sine of the angle between the cart and the first pole
- state[2]: sine of the angle between the two poles
- state[3]: cosine of the angle between the cart and the first pole
- state[4]: cosine of the angle between the two poles
- state[5]: velocity of the cart
- state[6]: angular velocity of the angle between the cart and the first pole
- state[7]: angular velocity of the angle between the two poles
- state[8]: constraint force - x

The action space is a single float number between -1 and 1, representing the force applied to the cart. The action is a continuous value that can be positive (pushing right) or negative (pushing left).

The policy is a linear policy with 10 parameters and works as follows: 
action = [state[0], state[1], state[2], state[3], state[4], state[5], state[6], state[7], state[8]] @ W + B
where 
W = [[params[0]],
     [params[1]],
     [params[2]],
     [params[3]],
     [params[4]],
     [params[5]],
     [params[6]],
     [params[7]],
     [params[8]],]
B = [params[9]]

The total reward is: reward = alive_bonus - distance_penalty - velocity_penalty.
alive_bonus: Every timestep that the Inverted Pendulum is healthy (see definition in section “Episode End”), it gets a reward of fixed value healthy_reward (default is 10).
distance_penalty: This reward is a measure of how far the tip of the second pendulum (the only free end) moves.
velocity_penalty: A negative reward to penalize the agent for moving too fast. 

The goal is to keep the second pole balanced on top of the first pole while minimizing the movement of the cart and the poles.

You will receive:
1. Numerical feedback: parameters and their rewards
2. Visual feedback: description of the agent's behavior during the episode — trajectory, instability, failure moments, and overall pattern (when available)

# Regarding the parameters **params**:
**params** is an array of 10 float numbers.
**params** values are in the range of [-6.0, 6.0] with 1 decimal place.
params represent a linear policy. 
f(params) is the episodic reward of the policy.

# Here's how we'll interact:
1. I will first provide MAX_STEPS (400) along with training examples showing past parameters and rewards.
2. I will provide visual analysis of the most recent rollout, highlighting failure modes, success patterns, and behavioral observations.
3. You will provide your response in the following exact format:
    * Line 1: a new input 'params[0]: , params[1]: , params[2]: ,..., params[9]: ', aiming to maximize the function's value f(params). 
    Please propose params values in the range of [-6.0, 6.0], with 1 decimal place.
    * Line 2: detailed explanation of why you chose that input, **explicitly referencing BOTH visual observations AND numerical trends**.
4. I will then provide the function's value f(params) at that point, and the current iteration.
5. We will repeat steps 2-4 until we reach the maximum number of iterations.

# Remember:
1. **Do not propose previously seen params.**
2. **The global optimum should be around 10000.** If you are below that, this is just a local optimum. You should explore instead of exploiting.
3. Search both positive and negative values. **During exploration, use search step size of 0.1**.

Next, you will see examples of params, there episodic reward f(params), and the trajectories the params yield.
params[0]: -0.5; params[1]: -5.6; params[2]: 3.6; params[3]: 1.6; params[4]: 4.8; params[5]: 0.6; params[6]: 1; params[7]: -1.3; params[8]: 2.8; params[9]: -4; f(params): 35.34
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.1; f(params): 106.30
params[0]: 3.8; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.7; params[7]: -4.7; params[8]: 4.9; params[9]: -0.2; f(params): 105.46
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 95.71
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 117.75
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.2; f(params): 112.88
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 97.95
params[0]: 3.8; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.2; f(params): 95.43
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 100.35
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.2; f(params): 94.84
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 89.82
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.7; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 109.48
params[0]: 3.7; params[1]: 5.5; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 94.04
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 100.85
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 93.92
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 87.99
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 104.02
params[0]: 3.6; params[1]: 5.7; params[2]: -4.4; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 89.74
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 99.99
params[0]: 3.6; params[1]: 5.6; params[2]: -4.4; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 87.86
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.7; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 98.93
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 94.51
params[0]: 3.6; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.4; f(params): 93.38
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 100.45
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 88.89
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.2; f(params): 98.93
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 100.47
params[0]: 3.6; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.2; f(params): 120.34
params[0]: 3.7; params[1]: 5.7; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.2; f(params): 92.59
params[0]: 3.7; params[1]: 5.6; params[2]: -4.3; params[3]: 0.1; params[4]: -0.2; params[5]: -0.7; params[6]: 0.6; params[7]: -4.7; params[8]: 4.9; params[9]: -0.3; f(params): 100.86



## Visual Feedback — Current Policy (iter 112) with params[0]: 3.7, params[1]: 5.6, params[2]: -4.3, params[3]: 0.1, params[4]: -0.2, params[5]: -0.7, params[6]: 0.6, params[7]: -4.7, params[8]: 4.9, params[9]: -0.3:
The agent begins with the double pendulum slightly tilted to the right. Over a brief period of seven timesteps, the pendulum rapidly falls further to the right, exhibiting a significant increase in its angular deviation from the upright position. The motion appears abrupt and uncontrolled, quickly diverging from any stable state. This rapid tilting indicates a clear loss of control, leading to the early termination of the episode. The overall behavioral style demonstrates a quick and uncontrolled fall.


## Visual Feedback — Best Known Policy (iter 110, reward=219.95 with params[0]: 3.6, params[1]: 5.6, params[2]: -4.3, params[3]: 0.1, params[4]: -0.2, params[5]: -0.7, params[6]: 0.6, params[7]: -4.7, params[8]: 4.9, params[9]: -0.2):
The agent begins with the pole almost perfectly upright, exhibiting only a slight lean to the right. Despite this favorable starting position, the system rapidly destabilizes, with the pole quickly falling to the left and eventually lying nearly horizontal. Concurrently, the base itself shifts significantly to the left. The movement is abrupt and uncontrolled, demonstrating a swift divergence from the balanced state without any observable attempt at stabilization. The overall behavior is characterized by a rapid, chaotic loss of control, leading to an early termination.


Now you are at iteration 112 out of 400. Please provide the results in the indicated format. Do not provide any additional texts.


LLM:
params[0]: 3.7, params[1]: 5.6, params[2]: -4.3, params[3]: 0.1, params[4]: -0.2, params[5]: -0.7, params[6]: 0.6, params[7]: -4.7, params[8]: 4.9, params[9]: -0.1
The previous rollout (iter 112) showed a rapid fall due to instability. The best known policy (iter 110) also exhibited a quick loss of control. This suggests that the current parameters are leading to instability. I'm making a small adjustment to `params[9]` from -0.3 to -0.1. This parameter influences the overall bias of the action. By slightly increasing it, I hope to provide a more assertive corrective action to prevent the rapid fall observed in recent rollouts. I am keeping other parameters mostly the same as they seem to be in a region that has produced decent, albeit not optimal, scores around 90-120. The goal is to fine-tune the bias to improve stability without drastically changing the learned relationship between states and actions.
